Name,Elo
Sean Sherk,{'elo': 1375.7792899710826, 'winStreak': 1}
Joanderson Brito,{'elo': 1375.1290693106066, 'winStreak': 0}
Shane Burgos,{'elo': 1375.0083382354098, 'winStreak': 2}
Volkan Oezdemir,{'elo': 1374.869463290531, 'winStreak': 0}
Calvin Kattar,{'elo': 1374.3890364076526, 'winStreak': 0}
Marcus Mcghee,{'elo': 1374.2330246559557, 'winStreak': 4}
Alan Belcher,{'elo': 1373.9932925683236, 'winStreak': 0}
Jéssica Andrade,{'elo': 1373.9169630514075, 'winStreak': 0}
Paulo Costa,{'elo': 1371.9961232644778, 'winStreak': 0}
Sharabutdin Magomedov,{'elo': 1371.9163291646664, 'winStreak': 4}
Vitor Belfort,{'elo': 1371.6860764393348, 'winStreak': 0}
Michel Prazeres,{'elo': 1371.2901095633824, 'winStreak': 0}
Nicolas Dalby,{'elo': 1371.101852670833, 'winStreak': 0}
Quinton Jackson,{'elo': 1370.6466622463972, 'winStreak': 1}
Chepe Mariscal,{'elo': 1370.2324825176056, 'winStreak': 4}
William Gomis,{'elo': 1370.1641717259843, 'winStreak': 4}
Forrest Griffin,{'elo': 1369.5833478745767, 'winStreak': 1}
Dustin Ortiz,{'elo': 1369.4348774238133, 'winStreak': 3}
Urijah Faber,{'elo': 1368.886303172573, 'winStreak': 0}
Rafael Dos Anjos,{'elo': 1368.0690522497193, 'winStreak': 0}
Joseph Benavidez,{'elo': 1367.9961939033255, 'winStreak': 0}
Junior Dos Santos,{'elo': 1367.2913156425786, 'winStreak': 0}
Ailín Pérez,{'elo': 1367.1234596426318, 'winStreak': 5}
Paul Felder,{'elo': 1367.0459996699753, 'winStreak': 0}
Amanda Lemos,{'elo': 1366.7552252497428, 'winStreak': 0}
Ronda Rousey,{'elo': 1366.1911083151567, 'winStreak': 0}
Daniel Marcos,{'elo': 1365.958514197125, 'winStreak': 2}
Uriah Hall,{'elo': 1365.6995516923116, 'winStreak': 0}
Farid Basharat,{'elo': 1364.7299972729513, 'winStreak': 4}
Rashid Magomedov,{'elo': 1364.6147570911462, 'winStreak': 1}
Érik Pérez,{'elo': 1364.5671668435828, 'winStreak': 3}
Thiago Silva,{'elo': 1364.5115192532894, 'winStreak': 2}
Anderson Silva,{'elo': 1364.3769123701236, 'winStreak': 0}
David Teymur,{'elo': 1364.344346160028, 'winStreak': 0}
Roman Kopylov,{'elo': 1364.2629349703134, 'winStreak': 2}
Asu Almabayev,{'elo': 1364.2420684754056, 'winStreak': 4}
Jalin Turner,{'elo': 1362.6391559703538, 'winStreak': 0}
Elias Theodorou,{'elo': 1361.8220344239824, 'winStreak': 0}
Bo Nickal,{'elo': 1361.5584630866706, 'winStreak': 4}
Neil Magny,{'elo': 1361.319503377907, 'winStreak': 0}
Chad Mendes,{'elo': 1361.2607537514, 'winStreak': 0}
Tagir Ulanbekov,{'elo': 1360.900484085124, 'winStreak': 3}
Benoît Saint Denis,{'elo': 1360.438921108789, 'winStreak': 0}
Kenny Florian,{'elo': 1360.3502840779022, 'winStreak': 0}
Eddie Alvarez,{'elo': 1360.087801338507, 'winStreak': 0}
Cub Swanson,{'elo': 1359.1845452606638, 'winStreak': 1}
Amir Albazi,{'elo': 1358.9441311797982, 'winStreak': 0}
Ryan Hall,{'elo': 1358.707033878868, 'winStreak': 1}
Mick Parkin,{'elo': 1358.411946239569, 'winStreak': 4}
Kai Kara-France,{'elo': 1357.3141515363398, 'winStreak': 1}
Tracy Cortez,{'elo': 1356.4839483226012, 'winStreak': 0}
Chas Skelly,{'elo': 1356.4037698232023, 'winStreak': 2}
Ignacio Bahamondes,{'elo': 1356.3064523150695, 'winStreak': 2}
Daniel Rodriguez,{'elo': 1356.114995424177, 'winStreak': 1}
Jake Matthews,{'elo': 1355.778389030636, 'winStreak': 1}
Omari Akhmedov,{'elo': 1355.6834038797977, 'winStreak': 0}
Mackenzie Dern,{'elo': 1354.8821742743837, 'winStreak': 2}
Aleksandar Rakić,{'elo': 1354.6902946190921, 'winStreak': 0}
Kevin Lee,{'elo': 1354.500631710876, 'winStreak': 0}
Kyler Phillips,{'elo': 1354.4500809084627, 'winStreak': 0}
Macy Chiasson,{'elo': 1354.3925089170175, 'winStreak': 2}
Irene Aldana,{'elo': 1354.0492192899999, 'winStreak': 0}
Darren Elkins,{'elo': 1353.1785982431732, 'winStreak': 2}
Gillian Robertson,{'elo': 1351.6437316791425, 'winStreak': 3}
Marcos Rogério De Lima,{'elo': 1351.4567806533782, 'winStreak': 1}
Krzysztof Jotko,{'elo': 1350.6223287057114, 'winStreak': 0}
Pat Miletich,{'elo': 1349.9858848468564, 'winStreak': 0}
Ricardo Lamas,{'elo': 1349.0578294889742, 'winStreak': 1}
Jasmine Jasudavicius,{'elo': 1348.692729574518, 'winStreak': 3}
Jean Silva,{'elo': 1347.775326848877, 'winStreak': 3}
Iasmin Lucindo,{'elo': 1347.2322462379234, 'winStreak': 4}
Cody Garbrandt,{'elo': 1346.8487229553862, 'winStreak': 0}
Martin Kampmann,{'elo': 1346.7069350164277, 'winStreak': 0}
Jordan Johnson,{'elo': 1345.7222103840234, 'winStreak': 4}
John Hathaway,{'elo': 1345.2416365333384, 'winStreak': 0}
Chael Sonnen,{'elo': 1344.860902337428, 'winStreak': 0}
Andre Petroski,{'elo': 1344.7395299649509, 'winStreak': 2}
Alexander Romanov,{'elo': 1344.0456191430565, 'winStreak': 1}
Nathaniel Wood,{'elo': 1343.3815307111433, 'winStreak': 1}
Manel Kape,{'elo': 1342.8379237035767, 'winStreak': 1}
Thiago Santos,{'elo': 1342.7575412913052, 'winStreak': 0}
Waldo Cortes-Acosta,{'elo': 1341.0052942694952, 'winStreak': 3}
David Onama,{'elo': 1340.907654117321, 'winStreak': 3}
Joe Pyfer,{'elo': 1339.6529193196166, 'winStreak': 1}
Chris Lytle,{'elo': 1339.1163904284385, 'winStreak': 1}
Chase Hooper,{'elo': 1338.2620963894162, 'winStreak': 4}
Li Jingliang,{'elo': 1338.1745601148489, 'winStreak': 0}
Rousimar Palhares,{'elo': 1337.9612301526558, 'winStreak': 1}
Anthony Smith,{'elo': 1336.8120140570338, 'winStreak': 0}
Johnny Walker,{'elo': 1336.4951122181997, 'winStreak': 0}
Oleg Taktarov,{'elo': 1336.2720210461812, 'winStreak': 2}
Dan Severn,{'elo': 1336.0200210343571, 'winStreak': 0}
Dan Ige,{'elo': 1335.8184665081492, 'winStreak': 0}
Mike Davis,{'elo': 1335.809177713118, 'winStreak': 4}
Shane Carwin,{'elo': 1334.8601245721027, 'winStreak': 0}
Lauren Murphy,{'elo': 1334.2611312185227, 'winStreak': 0}
Sage Northcutt,{'elo': 1334.233092987805, 'winStreak': 3}
Luke Rockhold,{'elo': 1334.1563351157565, 'winStreak': 0}
Ryan Laflare,{'elo': 1332.8502608249005, 'winStreak': 0}
Dan Hardy,{'elo': 1331.3749493053192, 'winStreak': 2}
Thales Leites,{'elo': 1331.1950882621115, 'winStreak': 1}
Taylor Lapilus,{'elo': 1330.8619351336001, 'winStreak': 2}
Lorenz Larkin,{'elo': 1330.7818405132498, 'winStreak': 2}
Ryan Spann,{'elo': 1330.4463719981723, 'winStreak': 1}
Sergio Pettis,{'elo': 1329.8565690515545, 'winStreak': 1}
Charles Johnson,{'elo': 1329.6358173744957, 'winStreak': 4}
Darren Till,{'elo': 1328.545065291115, 'winStreak': 0}
Mark Kerr,{'elo': 1328.1558141686141, 'winStreak': 4}
Brett Johns,{'elo': 1327.6438225711101, 'winStreak': 2}
Mateusz Rębecki,{'elo': 1327.470140883491, 'winStreak': 1}
Frankie Edgar,{'elo': 1327.2845077767815, 'winStreak': 0}
Esteban Ribovics,{'elo': 1325.1460829183554, 'winStreak': 3}
Ricky Simón,{'elo': 1324.9821326246201, 'winStreak': 0}
Matt Mitrione,{'elo': 1324.4399408276079, 'winStreak': 0}
Oban Elliott,{'elo': 1324.2779403545883, 'winStreak': 3}
Johny Hendricks,{'elo': 1324.2301720518135, 'winStreak': 0}
Pedro Rizzo,{'elo': 1324.119289872553, 'winStreak': 2}
Christian Rodriguez,{'elo': 1323.955384434534, 'winStreak': 1}
