Name,Elo,WinStreak,LastFight
Patrick Côté,1252.0641106985568,0,2017-04-08
Alejandro Pérez,1252.0463931110546,0,2022-02-26
Nicolae Negumereanu,1252.046387160498,0,2022-11-12
Rodolfo Vieira,1251.9976506590617,0,2025-11-15
Morgan Charrière,1251.7113433252814,1,2025-07-12
Lauren Murphy,1251.5594567679016,0,2025-07-12
Joseph Morales,1251.451758191066,2,2025-11-08
David Terrell,1251.1816843677034,1,2006-04-15
Phillip Miller,1251.1278702293714,2,2002-11-22
Jacob Volkmann,1250.7162049712138,0,2013-02-02
Macy Chiasson,1250.6228432357075,0,2025-10-04
Evan Tanner,1250.5300360080196,0,2008-06-21
Chris Weidman,1250.4739883900793,0,2024-12-07
Mason Jones,1250.285093958642,2,2025-09-06
Nina Ansaroff,1250.271487291707,0,2019-06-08
Sergey Khandozhko,1249.149213397496,1,2022-04-23
